company,topic,url
General,Mock GD Practice 1,https://youtu.be/gXId9M2w5LU?si=PSIkJgqlZY8EBbUy
General,Mock GD Practice 2,https://youtu.be/Lkig5tzdK5k?si=V6m8VHFlLAoI4qnt
General,Mock GD Practice 3,https://youtu.be/8BOhKBaiIM4?si=k29PqqHyfoMyr9iu
General,Mock GD Practice 4,https://youtu.be/ViOmteEjqno?si=GuytzkE9D7Al0vtO
